Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Phản ứng thuốc,ngứa,phát ban,đau dạ dày,spotting  urination,,,,,,,,,,,,,
Phản ứng thuốc,ngứa,phát ban,đau dạ dày,tiểu buốt,,,,,,,,,,,,,
Viêm loét dạ dày,nôn mửa,chán ăn,đau bụng,xì hơi,ngứa bên trong,,,,,,,,,,,,
Viêm loét dạ dày,nôn mửa,khó tiêu,đau bụng,xì hơi,ngứa bên trong,,,,,,,,,,,,
Viêm loét dạ dày,khó tiêu,chán ăn,đau bụng,xì hơi,ngứa bên trong,,,,,,,,,,,,
Viêm loét dạ dày,nôn mửa,chán ăn,đau bụng,xì hơi,ngứa bên trong,,,,,,,,,,,,
Viêm loét dạ dày,nôn mửa,khó tiêu,đau bụng,xì hơi,ngứa bên trong,,,,,,,,,,,,
Viêm loét dạ dày,nôn mửa,khó tiêu,chán ăn,xì hơi,ngứa bên trong,,,,,,,,,,,,
Viêm loét dạ dày,nôn mửa,khó tiêu,chán ăn,đau bụng,ngứa bên trong,,,,,,,,,,,,
Viêm loét dạ dày,nôn mửa,khó tiêu,chán ăn,đau bụng,xì hơi,,,,,,,,,,,,
Viêm loét dạ dày,nôn mửa,khó tiêu,chán ăn,đau bụng,xì hơi,ngứa bên trong,,,,,,,,,,,
Viêm loét dạ dày,nôn mửa,khó tiêu,chán ăn,đau bụng,xì hơi,ngứa bên trong,,,,,,,,,,,
HIV/AIDS,teo cơ,mảng bám cổ họng,sốt cao,extra marital contacts,,,,,,,,,,,,,
HIV/AIDS,mảng bám cổ họng,sốt cao,extra marital contacts,,,,,,,,,,,,,,
HIV/AIDS,teo cơ,sốt cao,extra marital contacts,,,,,,,,,,,,,,
HIV/AIDS,teo cơ,mảng bám cổ họng,extra marital contacts,,,,,,,,,,,,,,
HIV/AIDS,teo cơ,mảng bám cổ họng,sốt cao,,,,,,,,,,,,,,
HIV/AIDS,teo cơ,mảng bám cổ họng,sốt cao,extra marital contacts,,,,,,,,,,,,,
HIV/AIDS,teo cơ,mảng bám cổ họng,sốt cao,extra marital contacts,,,,,,,,,,,,,
HIV/AIDS,mảng bám cổ họng,sốt cao,extra marital contacts,,,,,,,,,,,,,,
HIV/AIDS,teo cơ,sốt cao,extra marital contacts,,,,,,,,,,,,,,
HIV/AIDS,teo cơ,mảng bám cổ họng,sốt cao,,,,,,,,,,,,,,
Tiểu đường,mệt mỏi,giảm cân,bồn chồn,lờ đờ,đường huyết bất thường,tầm nhìn mờ,béo phì,đói quá mức,increased appetite,đái nhiều,,,,,,,
Tiểu đường,mệt mỏi,giảm cân,bồn chồn,lờ đờ,đường huyết bất thường,tầm nhìn mờ,béo phì,đói quá mức,increased appetite,đái nhiều,,,,,,,
Tiểu đường,giảm cân,bồn chồn,lờ đờ,đường huyết bất thường,tầm nhìn mờ,béo phì,đói quá mức,increased appetite,đái nhiều,,,,,,,,
Tiểu đường,mệt mỏi,bồn chồn,lờ đờ,đường huyết bất thường,tầm nhìn mờ,béo phì,đói quá mức,increased appetite,đái nhiều,,,,,,,,
Tiểu đường,mệt mỏi,giảm cân,lờ đờ,đường huyết bất thường,tầm nhìn mờ,béo phì,đói quá mức,increased appetite,đái nhiều,,,,,,,,
Tiểu đường,mệt mỏi,giảm cân,bồn chồn,đường huyết bất thường,tầm nhìn mờ,béo phì,đói quá mức,increased appetite,đái nhiều,,,,,,,,
Tiểu đường,mệt mỏi,giảm cân,bồn chồn,lờ đờ,tầm nhìn mờ,béo phì,đói quá mức,increased appetite,đái nhiều,,,,,,,,
Tiểu đường,mệt mỏi,giảm cân,bồn chồn,lờ đờ,đường huyết bất thường,béo phì,đói quá mức,increased appetite,đái nhiều,,,,,,,,
Tiểu đường,mệt mỏi,giảm cân,bồn chồn,lờ đờ,đường huyết bất thường,tầm nhìn mờ,đói quá mức,increased appetite,đái nhiều,,,,,,,,
Tiểu đường,mệt mỏi,giảm cân,bồn chồn,lờ đờ,đường huyết bất thường,tầm nhìn mờ,béo phì,increased appetite,đái nhiều,,,,,,,,
Viêm dạ dày ruột,nôn mửa,mắt trũng,mất nước,tiêu chảy,,,,,,,,,,,,,
Viêm dạ dày ruột,nôn mửa,mắt trũng,mất nước,tiêu chảy,,,,,,,,,,,,,
Viêm dạ dày ruột,mắt trũng,mất nước,tiêu chảy,,,,,,,,,,,,,,
Viêm dạ dày ruột,nôn mửa,mất nước,tiêu chảy,,,,,,,,,,,,,,
Viêm dạ dày ruột,nôn mửa,mắt trũng,tiêu chảy,,,,,,,,,,,,,,
Viêm dạ dày ruột,nôn mửa,mắt trũng,mất nước,,,,,,,,,,,,,,
Viêm dạ dày ruột,nôn mửa,mắt trũng,mất nước,tiêu chảy,,,,,,,,,,,,,
Viêm dạ dày ruột,mắt trũng,mất nước,tiêu chảy,,,,,,,,,,,,,,
Viêm dạ dày ruột,nôn mửa,mất nước,tiêu chảy,,,,,,,,,,,,,,
Viêm dạ dày ruột,nôn mửa,mắt trũng,tiêu chảy,,,,,,,,,,,,,,
Hen phế quản,mệt mỏi,ho,sốt cao,khó thở,tiền sử gia đình,đờm nhầy,,,,,,,,,,,
Hen phế quản,ho,sốt cao,khó thở,tiền sử gia đình,đờm nhầy,,,,,,,,,,,,
Hen phế quản,mệt mỏi,sốt cao,khó thở,tiền sử gia đình,đờm nhầy,,,,,,,,,,,,
Hen phế quản,mệt mỏi,ho,khó thở,tiền sử gia đình,đờm nhầy,,,,,,,,,,,,
Hen phế quản,mệt mỏi,ho,sốt cao,tiền sử gia đình,đờm nhầy,,,,,,,,,,,,
Hen phế quản,mệt mỏi,ho,sốt cao,khó thở,đờm nhầy,,,,,,,,,,,,
Hen phế quản,mệt mỏi,ho,sốt cao,khó thở,tiền sử gia đình,,,,,,,,,,,,
Hen phế quản,mệt mỏi,ho,sốt cao,khó thở,tiền sử gia đình,đờm nhầy,,,,,,,,,,,
Hen phế quản,ho,sốt cao,khó thở,tiền sử gia đình,đờm nhầy,,,,,,,,,,,,
Hen phế quản,mệt mỏi,sốt cao,khó thở,tiền sử gia đình,đờm nhầy,,,,,,,,,,,,
Cao huyết áp,đau đầu,đau ngực,chóng mặt,mất thăng bằng,mất tập trung,,,,,,,,,,,,
Cao huyết áp,đau ngực,chóng mặt,mất thăng bằng,mất tập trung,,,,,,,,,,,,,
Cao huyết áp,đau đầu,chóng mặt,mất thăng bằng,mất tập trung,,,,,,,,,,,,,
Cao huyết áp,đau đầu,đau ngực,mất thăng bằng,mất tập trung,,,,,,,,,,,,,
Cao huyết áp,đau đầu,đau ngực,chóng mặt,mất tập trung,,,,,,,,,,,,,
Cao huyết áp,đau đầu,đau ngực,chóng mặt,mất thăng bằng,,,,,,,,,,,,,
Cao huyết áp,đau đầu,đau ngực,chóng mặt,mất thăng bằng,mất tập trung,,,,,,,,,,,,
Cao huyết áp,đau ngực,chóng mặt,mất thăng bằng,mất tập trung,,,,,,,,,,,,,
Cao huyết áp,đau đầu,chóng mặt,mất thăng bằng,mất tập trung,,,,,,,,,,,,,
Cao huyết áp,đau đầu,đau ngực,mất thăng bằng,mất tập trung,,,,,,,,,,,,,
Đau nửa đầu,axit dạ dày,khó tiêu,đau đầu,tầm nhìn mờ,đói quá mức,cứng cổ,trầm cảm,dễ kích động,rối loạn thị giác,,,,,,,,
Đau nửa đầu,khó tiêu,đau đầu,tầm nhìn mờ,đói quá mức,cứng cổ,trầm cảm,dễ kích động,rối loạn thị giác,,,,,,,,,
Đau nửa đầu,axit dạ dày,đau đầu,tầm nhìn mờ,đói quá mức,cứng cổ,trầm cảm,dễ kích động,rối loạn thị giác,,,,,,,,,
Đau nửa đầu,axit dạ dày,khó tiêu,tầm nhìn mờ,đói quá mức,cứng cổ,trầm cảm,dễ kích động,rối loạn thị giác,,,,,,,,,
Đau nửa đầu,axit dạ dày,khó tiêu,đau đầu,đói quá mức,cứng cổ,trầm cảm,dễ kích động,rối loạn thị giác,,,,,,,,,
Đau nửa đầu,axit dạ dày,khó tiêu,đau đầu,tầm nhìn mờ,cứng cổ,trầm cảm,dễ kích động,rối loạn thị giác,,,,,,,,,
Đau nửa đầu,axit dạ dày,khó tiêu,đau đầu,tầm nhìn mờ,đói quá mức,trầm cảm,dễ kích động,rối loạn thị giác,,,,,,,,,
Đau nửa đầu,axit dạ dày,khó tiêu,đau đầu,tầm nhìn mờ,đói quá mức,cứng cổ,dễ kích động,rối loạn thị giác,,,,,,,,,
Đau nửa đầu,axit dạ dày,khó tiêu,đau đầu,tầm nhìn mờ,đói quá mức,cứng cổ,trầm cảm,rối loạn thị giác,,,,,,,,,
Đau nửa đầu,axit dạ dày,khó tiêu,đau đầu,tầm nhìn mờ,đói quá mức,cứng cổ,trầm cảm,dễ kích động,,,,,,,,,
Cervical spondylosis,đau lưng,yếu chi,đau cổ,chóng mặt,mất thăng bằng,,,,,,,,,,,,
Cervical spondylosis,đau lưng,yếu chi,đau cổ,chóng mặt,mất thăng bằng,,,,,,,,,,,,
Cervical spondylosis,yếu chi,đau cổ,chóng mặt,mất thăng bằng,,,,,,,,,,,,,
Cervical spondylosis,đau lưng,đau cổ,chóng mặt,mất thăng bằng,,,,,,,,,,,,,
Cervical spondylosis,đau lưng,yếu chi,chóng mặt,mất thăng bằng,,,,,,,,,,,,,
Cervical spondylosis,đau lưng,yếu chi,đau cổ,mất thăng bằng,,,,,,,,,,,,,
Cervical spondylosis,đau lưng,yếu chi,đau cổ,chóng mặt,,,,,,,,,,,,,
Cervical spondylosis,đau lưng,yếu chi,đau cổ,chóng mặt,mất thăng bằng,,,,,,,,,,,,
Cervical spondylosis,yếu chi,đau cổ,chóng mặt,mất thăng bằng,,,,,,,,,,,,,
Cervical spondylosis,đau lưng,đau cổ,chóng mặt,mất thăng bằng,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nôn mửa,đau đầu,weakness of one body side,rối loạn tri giác,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nôn mửa,đau đầu,weakness of one body side,rối loạn tri giác,,,,,,,,,,,,,
Paralysis (brain hemorrhage),đau đầu,weakness of one body side,rối loạn tri giác,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nôn mửa,weakness of one body side,rối loạn tri giác,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nôn mửa,đau đầu,rối loạn tri giác,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nôn mửa,đau đầu,weakness of one body side,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nôn mửa,đau đầu,weakness of one body side,rối loạn tri giác,,,,,,,,,,,,,
Paralysis (brain hemorrhage),đau đầu,weakness of one body side,rối loạn tri giác,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nôn mửa,weakness of one body side,rối loạn tri giác,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nôn mửa,đau đầu,rối loạn tri giác,,,,,,,,,,,,,,
Vàng da,ngứa,nôn mửa,mệt mỏi,giảm cân,sốt cao,vàng da,nước tiểu sẫm màu,đau bụng,,,,,,,,,
Vàng da,ngứa,nôn mửa,mệt mỏi,giảm cân,sốt cao,vàng da,nước tiểu sẫm màu,đau bụng,,,,,,,,,
Vàng da,nôn mửa,mệt mỏi,giảm cân,sốt cao,vàng da,nước tiểu sẫm màu,đau bụng,,,,,,,,,,
Vàng da,ngứa,mệt mỏi,giảm cân,sốt cao,vàng da,nước tiểu sẫm màu,đau bụng,,,,,,,,,,
Vàng da,ngứa,nôn mửa,giảm cân,sốt cao,vàng da,nước tiểu sẫm màu,đau bụng,,,,,,,,,,
Vàng da,ngứa,nôn mửa,mệt mỏi,sốt cao,vàng da,nước tiểu sẫm màu,đau bụng,,,,,,,,,,
Vàng da,ngứa,nôn mửa,mệt mỏi,giảm cân,vàng da,nước tiểu sẫm màu,đau bụng,,,,,,,,,,
Vàng da,ngứa,nôn mửa,mệt mỏi,giảm cân,sốt cao,nước tiểu sẫm màu,đau bụng,,,,,,,,,,
Vàng da,ngứa,nôn mửa,mệt mỏi,giảm cân,sốt cao,vàng da,đau bụng,,,,,,,,,,
Vàng da,ngứa,nôn mửa,mệt mỏi,giảm cân,sốt cao,vàng da,nước tiểu sẫm màu,,,,,,,,,,
Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi,đau đầu,buồn nôn,đau cơ,,,,,,,,,,
Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi,đau đầu,buồn nôn,tiêu chảy,đau cơ,,,,,,,,,
Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi,đau đầu,buồn nôn,tiêu chảy,đau cơ,,,,,,,,,
Sốt rét,nôn mửa,sốt cao,đổ mồ hôi,đau đầu,buồn nôn,tiêu chảy,đau cơ,,,,,,,,,,
Sốt rét,ớn lạnh,sốt cao,đổ mồ hôi,đau đầu,buồn nôn,tiêu chảy,đau cơ,,,,,,,,,,
Sốt rét,ớn lạnh,nôn mửa,đổ mồ hôi,đau đầu,buồn nôn,tiêu chảy,đau cơ,,,,,,,,,,
Sốt rét,ớn lạnh,nôn mửa,sốt cao,đau đầu,buồn nôn,tiêu chảy,đau cơ,,,,,,,,,,
Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi,buồn nôn,tiêu chảy,đau cơ,,,,,,,,,,
Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi,đau đầu,tiêu chảy,đau cơ,,,,,,,,,,
Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi,đau đầu,buồn nôn,đau cơ,,,,,,,,,,
Thủy đậu,ngứa,phát ban,mệt mỏi,lờ đờ,sốt cao,đau đầu,chán ăn,sốt nhẹ,sưng hạch bạch huyết,khó chịu,đốm đỏ toàn thân,,,,,,
Thủy đậu,phát ban,mệt mỏi,lờ đờ,sốt cao,đau đầu,chán ăn,sốt nhẹ,sưng hạch bạch huyết,khó chịu,đốm đỏ toàn thân,,,,,,,
Thủy đậu,ngứa,mệt mỏi,lờ đờ,sốt cao,đau đầu,chán ăn,sốt nhẹ,sưng hạch bạch huyết,khó chịu,đốm đỏ toàn thân,,,,,,,
Thủy đậu,ngứa,phát ban,lờ đờ,sốt cao,đau đầu,chán ăn,sốt nhẹ,sưng hạch bạch huyết,khó chịu,đốm đỏ toàn thân,,,,,,,
Thủy đậu,ngứa,phát ban,mệt mỏi,sốt cao,đau đầu,chán ăn,sốt nhẹ,sưng hạch bạch huyết,khó chịu,đốm đỏ toàn thân,,,,,,,
Thủy đậu,ngứa,phát ban,mệt mỏi,lờ đờ,đau đầu,chán ăn,sốt nhẹ,sưng hạch bạch huyết,khó chịu,đốm đỏ toàn thân,,,,,,,
Thủy đậu,ngứa,phát ban,mệt mỏi,lờ đờ,sốt cao,chán ăn,sốt nhẹ,sưng hạch bạch huyết,khó chịu,đốm đỏ toàn thân,,,,,,,
Thủy đậu,ngứa,phát ban,mệt mỏi,lờ đờ,sốt cao,đau đầu,sốt nhẹ,sưng hạch bạch huyết,khó chịu,đốm đỏ toàn thân,,,,,,,
Thủy đậu,ngứa,phát ban,mệt mỏi,lờ đờ,sốt cao,đau đầu,chán ăn,sưng hạch bạch huyết,khó chịu,đốm đỏ toàn thân,,,,,,,
Thủy đậu,ngứa,phát ban,mệt mỏi,lờ đờ,sốt cao,đau đầu,chán ăn,sốt nhẹ,khó chịu,đốm đỏ toàn thân,,,,,,,
Sốt xuất huyết,phát ban,ớn lạnh,đau khớp,nôn mửa,mệt mỏi,sốt cao,đau đầu,buồn nôn,chán ăn,đau sau mắt,đau lưng,đau cơ,đốm đỏ toàn thân,,,,
Sốt xuất huyết,phát ban,ớn lạnh,đau khớp,nôn mửa,mệt mỏi,sốt cao,đau đầu,buồn nôn,chán ăn,đau sau mắt,đau lưng,khó chịu,đốm đỏ toàn thân,,,,
Sốt xuất huyết,phát ban,ớn lạnh,đau khớp,nôn mửa,mệt mỏi,sốt cao,đau đầu,buồn nôn,chán ăn,đau sau mắt,đau lưng,khó chịu,đau cơ,,,,
Sốt xuất huyết,phát ban,ớn lạnh,đau khớp,nôn mửa,mệt mỏi,sốt cao,đau đầu,buồn nôn,chán ăn,đau sau mắt,đau lưng,khó chịu,đau cơ,đốm đỏ toàn thân,,,
Sốt xuất huyết,ớn lạnh,đau khớp,nôn mửa,mệt mỏi,sốt cao,đau đầu,buồn nôn,chán ăn,đau sau mắt,đau lưng,khó chịu,đau cơ,đốm đỏ toàn thân,,,,
Sốt xuất huyết,phát ban,đau khớp,nôn mửa,mệt mỏi,sốt cao,đau đầu,buồn nôn,chán ăn,đau sau mắt,đau lưng,khó chịu,đau cơ,đốm đỏ toàn thân,,,,
Sốt xuất huyết,phát ban,ớn lạnh,nôn mửa,mệt mỏi,sốt cao,đau đầu,buồn nôn,chán ăn,đau sau mắt,đau lưng,khó chịu,đau cơ,đốm đỏ toàn thân,,,,
Sốt xuất huyết,phát ban,ớn lạnh,đau khớp,mệt mỏi,sốt cao,đau đầu,buồn nôn,chán ăn,đau sau mắt,đau lưng,khó chịu,đau cơ,đốm đỏ toàn thân,,,,
Sốt xuất huyết,phát ban,ớn lạnh,đau khớp,nôn mửa,sốt cao,đau đầu,buồn nôn,chán ăn,đau sau mắt,đau lưng,khó chịu,đau cơ,đốm đỏ toàn thân,,,,
Sốt xuất huyết,phát ban,ớn lạnh,đau khớp,nôn mửa,mệt mỏi,đau đầu,buồn nôn,chán ăn,đau sau mắt,đau lưng,khó chịu,đau cơ,đốm đỏ toàn thân,,,,
Sốt thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao,buồn nôn,táo bón,đau bụng,tiêu chảy,vẻ mặt nhiễm độc,đau bụng dưới,,,,,,,
Sốt thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao,đau đầu,táo bón,đau bụng,tiêu chảy,vẻ mặt nhiễm độc,đau bụng dưới,,,,,,,
Sốt thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao,đau đầu,buồn nôn,đau bụng,tiêu chảy,vẻ mặt nhiễm độc,đau bụng dưới,,,,,,,
Sốt thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao,đau đầu,buồn nôn,táo bón,tiêu chảy,vẻ mặt nhiễm độc,đau bụng dưới,,,,,,,
Sốt thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao,đau đầu,buồn nôn,táo bón,đau bụng,vẻ mặt nhiễm độc,đau bụng dưới,,,,,,,
Sốt thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao,đau đầu,buồn nôn,táo bón,đau bụng,tiêu chảy,đau bụng dưới,,,,,,,
Sốt thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao,đau đầu,buồn nôn,táo bón,đau bụng,tiêu chảy,vẻ mặt nhiễm độc,,,,,,,
Sốt thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao,đau đầu,buồn nôn,táo bón,đau bụng,tiêu chảy,vẻ mặt nhiễm độc,đau bụng dưới,,,,,,
Sốt thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao,đau đầu,buồn nôn,táo bón,đau bụng,tiêu chảy,vẻ mặt nhiễm độc,đau bụng dưới,,,,,,
Sốt thương hàn,ớn lạnh,mệt mỏi,sốt cao,đau đầu,buồn nôn,táo bón,đau bụng,tiêu chảy,vẻ mặt nhiễm độc,đau bụng dưới,,,,,,,
hepatitis A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu,buồn nôn,chán ăn,đau bụng,tiêu chảy,sốt nhẹ,vàng mắt,đau cơ,,,,,,
hepatitis A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu,buồn nôn,chán ăn,đau bụng,tiêu chảy,sốt nhẹ,vàng mắt,đau cơ,,,,,,
hepatitis A,nôn mửa,vàng da,nước tiểu sẫm màu,buồn nôn,chán ăn,đau bụng,tiêu chảy,sốt nhẹ,vàng mắt,đau cơ,,,,,,,
hepatitis A,đau khớp,vàng da,nước tiểu sẫm màu,buồn nôn,chán ăn,đau bụng,tiêu chảy,sốt nhẹ,vàng mắt,đau cơ,,,,,,,
hepatitis A,đau khớp,nôn mửa,nước tiểu sẫm màu,buồn nôn,chán ăn,đau bụng,tiêu chảy,sốt nhẹ,vàng mắt,đau cơ,,,,,,,
hepatitis A,đau khớp,nôn mửa,vàng da,buồn nôn,chán ăn,đau bụng,tiêu chảy,sốt nhẹ,vàng mắt,đau cơ,,,,,,,
hepatitis A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu,chán ăn,đau bụng,tiêu chảy,sốt nhẹ,vàng mắt,đau cơ,,,,,,,
hepatitis A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu,buồn nôn,đau bụng,tiêu chảy,sốt nhẹ,vàng mắt,đau cơ,,,,,,,
hepatitis A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu,buồn nôn,chán ăn,tiêu chảy,sốt nhẹ,vàng mắt,đau cơ,,,,,,,
hepatitis A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu,buồn nôn,chán ăn,đau bụng,sốt nhẹ,vàng mắt,đau cơ,,,,,,,
Viêm gan B,ngứa,mệt mỏi,lờ đờ,vàng da,nước tiểu sẫm màu,chán ăn,đau bụng,nước tiểu vàng,vàng mắt,khó chịu,receiving blood transfusion,receiving unsterile injections,,,,,
Viêm gan B,ngứa,mệt mỏi,lờ đờ,vàng da,nước tiểu sẫm màu,chán ăn,đau bụng,nước tiểu vàng,vàng mắt,khó chịu,receiving blood transfusion,receiving unsterile injections,,,,,
Viêm gan B,mệt mỏi,lờ đờ,vàng da,nước tiểu sẫm màu,chán ăn,đau bụng,nước tiểu vàng,vàng mắt,khó chịu,receiving blood transfusion,receiving unsterile injections,,,,,,
Viêm gan B,ngứa,lờ đờ,vàng da,nước tiểu sẫm màu,chán ăn,đau bụng,nước tiểu vàng,vàng mắt,khó chịu,receiving blood transfusion,receiving unsterile injections,,,,,,
Viêm gan B,ngứa,mệt mỏi,vàng da,nước tiểu sẫm màu,chán ăn,đau bụng,nước tiểu vàng,vàng mắt,khó chịu,receiving blood transfusion,receiving unsterile injections,,,,,,
